response_id,response,theme,present,score,count_original,count_synonym,count_closest,examples_original,examples_synonym,examples_closest
1,i have just lost something dear to me,Work school context,False,0.0,0,0,0,,,
2,My mum cames at me and just shows me how much she loves using her touch,Work school context,False,0.0,0,0,0,,,
3,we are talking about our upcoming exams and projects,Work school context,True,2.75,2,1,0,"exam, project",talk,talk
4,The friend is comforting me.,Work school context,False,0.0,0,0,0,,,
5,We are talking,Work school context,False,0.75,0,1,0,,talk,talk
6,I am sad and my mom tries to comfort me.,Work school context,False,0.0,0,0,0,,,
7,we are having a conversation,Work school context,False,0.0,0,0,0,,,
8,we are both sitting in the kitchen table,Work school context,False,0.0,0,0,0,,,
9,The other person is trying to comfort me.,Work school context,False,0.0,0,0,0,,,person
10,He touching me,Work school context,False,0.0,0,0,0,,,
11,I received some bad news,Work school context,False,0.0,0,0,0,,,
12,I'm talking about something important or hard for me,Work school context,False,0.75,0,1,0,,talk,talk
13,We are in class and my friend touches me during a lecture to make me laugh,Work school context,True,2.75,2,1,0,"class, lecture",lecture,
14,Grounding technique,Work school context,False,0.0,0,0,0,,,
15,Wife is putting her hand on my shoulder.,Work school context,False,0.0,0,0,0,,,
16,I was walking down the street and my acquaintance way walking  behind my back,Work school context,False,0.0,0,0,0,,,
17,We are sitting and talking. She touched my knee,Work school context,False,0.75,0,1,0,,talk,talk
18,Maybe i'm describing something that worries me,Work school context,False,0.0,0,0,0,,,
19,we are sitting in the living room,Work school context,False,0.0,0,0,0,,,room
20,"Next to each other daydreaming, he touches my shoulders like that, have that fantastic feeling once again of someone touching my shoulder.",Work school context,False,0.0,0,0,0,,,
21,I've received news that I did not get the job I wanted.,Work school context,False,0.0,0,0,0,,,
22,we have a deep conversation about some serious topics like health,Work school context,False,0.0,0,0,0,,,
23,My friend is comforting me after I just received news of the passing of a loved one.,Work school context,False,0.0,0,0,0,,,
24,I entered the church and a man dressed as a priest approached me and touched my arm like this,Work school context,False,0.0,0,0,0,,,church
25,I went to my mother's room after feeling bad or stuck in my life. She then proceeds to comfort me both with her words and a gentle touch on my shoulder.,Work school context,False,0.0,0,0,0,,,"room, then"
26,We are chilling on the bed,Work school context,False,0.0,0,0,0,,,
27,The person is asking me if everything is okay with my life.,Work school context,False,0.0,0,0,0,,,person
28,She is talking to me,Work school context,False,0.75,0,1,0,,talk,talk
29,"There are many people around us, but he took an interest in me and he is speaking to me in a creepy way",Work school context,False,0.0,0,0,0,,,
30,She's helping me going through some troubles.,Work school context,False,0.0,0,0,0,,,
31,I have a problem with the University and I am speaking with my parents,Work school context,True,1.0,1,0,0,university,,parent
32,she's reassuring me about a situation.,Work school context,False,0.0,0,0,0,,,
33,I'm feeling anxious about incoming deadlines,Work school context,True,1.0,1,0,0,deadline,,
34,a hand reaches to gently tap snother person's arm a few times,Work school context,False,0.0,0,0,0,,,
35,I feel sad,Work school context,False,0.0,0,0,0,,,
