ResponseID|Touch No.|Social_self|Social_body|Social_place|Social_context|Intention&Purpose|Appropriateness|Sensory|Valence&Arousal_x|Valence&Arousal_y|Emotional_self|Emotional_touch|Continue|Input|Valence|Arousal|Type|Contact|Direction|Speed (cm/s)|Force|Touch_desc
R_3qKgvx2DkSPAQbU|17|family member|The upper middle of my back|I'm at home, in my bedroom|Lying face down on the bed.|To say hello, and let me know someone is thinking of me, to help reduce stress.|Yes, that would be okay.|Rubbing, comforting, soothing, gracious, loving|984.0|1204.0|I feel pleasant, loved, noticed|Pleasant, comforting|YES, show me another video||984.0|-1204.0|horizontal finger|finger|horizontal|18|light|finger horizontal 18 light
R_2P8cJEPoTBJaKPG|17|My boyfriend|My thigh|At his house|We are sitting on the couch and watching a movie|They want my attention|Yes, that would be okay.|Warm|1200.0|692.0|I feel affectionate|Bonding|YES, show me another video||1200.0|-692.0|horizontal finger|finger|horizontal|18|light|finger horizontal 18 light
R_1CjbnmTqqHiGBEZ|17|Partner|Cheek|Work|Chilling|Nothing|Yes, that would be okay.|Chilly, crawling, friction|702.0|710.0|Tense|Aggressive|NO, I would like to finish the survey now.||702.0|-710.0|horizontal finger|finger|horizontal|18|light|finger horizontal 18 light
R_12mutp4sjuKNCro|17|Friend.|Arm|At cafe|Talking|Getting my attaention or comforting me|Yes, that would be okay.|Rubbing|873.0|576.0|Adoration|Fine|NO, I would like to finish the survey now.||873.0|-576.0|horizontal finger|finger|horizontal|18|light|finger horizontal 18 light
R_2DTgXhH3xjj4oqb|17|A stranger|My arm|At a parl|I am sitting on a bench next to a stranger, when he starts touching me this way.|I can't really understand his intention, cause it's out of the blue.|No, it would not be okay.|Tense, nervous, anxious, violated, intense|206.0|295.0|Sad, frustrated, anxious, nervous, terrified, angry, tensed, humiliated|Inappropriate, Alarming, Unsettling, Nasty|YES, show me another video||206.0|-295.0|horizontal finger|finger|horizontal|18|light|finger horizontal 18 light
R_2ta3tJaft1U5jhn|17|A stranger|My arm|At my desk|A stranger is touching me|Take my attention|Yes, that would be okay.|Smooth, Soft,Sweeping|958.0|763.0|Curiosity, Defensiveness|Annoying|YES, show me another video||958.0|-763.0|horizontal finger|finger|horizontal|18|light|finger horizontal 18 light
R_pzatmjPNzxA598R|17|friend|chest|in the bedroom|lying and watching movie together|Teasing/caresses|Yes, that would be okay.|melting, warm, soft|1218.0|1214.0|i feel comfortable and relaxed|soft, comforting, calming|YES, show me another video||1218.0|-1214.0|horizontal finger|finger|horizontal|18|light|finger horizontal 18 light
R_3g6pOSP09V8Qnvf|17|With my co-worker who is also my best friend|She touches my hand and arm|We are in a vintage cafe drinking forest fruit tea|Nothing much, just us sitting next to each other and enjoying the moment|That's a hard one, she is just a kind of person that likes to touch other people (however that sounds). She shows that she likes them in this particular way.|Yes, that would be okay.|I'd say soft, comfortable and emotional (?). But very gentle that is for sure|1164.0|228.0|Very pleased, because I know her intentions. I'd also feel safe and needed|Again, the touch is soft and gentle, definitely meaningful and calming|NO, I would like to finish the survey now.||1164.0|-228.0|horizontal finger|finger|horizontal|18|light|finger horizontal 18 light
R_3IaBJfMOahcs3mY|17|partner|arm or leg|sat in the lounge|touch of affection|conveying the emotion of 'its going to be ok'|Yes, that would be okay.|rubbing|646.0|773.0|uncomfortable|purposeful;|NO, I would like to finish the survey now.||646.0|-773.0|horizontal finger|finger|horizontal|18|light|finger horizontal 18 light
R_sSGr3KvBuWp8Hfz|17|My boyfriend|My arm|At home|Touches me|Make me feel better|Yes, that would be okay.|He touches me soft|1179.0|361.0|I feel loved|The touch is good|NO, I would like to finish the survey now.||1179.0|-361.0|horizontal finger|finger|horizontal|18|light|finger horizontal 18 light
R_Uux99c0GnQykNNv|17|My son|My arm|At my desk, working on something.|I am working and my son decides to get my attention to himself by touching and pushing me with his finger.|To get his father attention and make me not wok when he is around.|Yes, that would be okay.|Playfully rubbing his finger|859.0|373.0|Suprised and alert, it is unexpected, but I am clam. It is a bit frustrating to lose focus, but that's it.|The touch is playful and with a clear purpose. A 4-year-old's way to get attention and must be judged as such.|NO, I would like to finish the survey now.||859.0|-373.0|horizontal finger|finger|horizontal|18|light|finger horizontal 18 light
R_2zThYFFvuRTcDz4|17|my 5 year old cousing|my arm|in a family lunch|she's trying to grab my attention|grab my attention|I don't know.|annoying|375.0|200.0|annoyed, irritated|irritating|YES, show me another video||375.0|-200.0|horizontal finger|finger|horizontal|18|light|finger horizontal 18 light
R_3CGT74NsKnXp3KR|17|My girlfriend|My forearm|Living room|Sensitive touching|She wants me to make me feel loose and relaxed because she knows i like ASMR and gently touches.|Yes, that would be okay.|Fluttering Hugging Consistent Feathery Fleshy Light Rhythmic Smooth Soft|1220.0|888.0|Relaxing Arousing Naughty|Light Rhythmic Smooth Soft Nice|YES, show me another video||1220.0|-888.0|horizontal finger|finger|horizontal|18|light|finger horizontal 18 light
R_2Yt6t2IhCw8dq4y|17|My sister|My arm|My sisters house|Im visiting my sister|To be playful|Yes, that would be okay.|Tickling|880.0|893.0|Calm|Arousing|YES, show me another video||880.0|-893.0|horizontal finger|finger|horizontal|18|light|finger horizontal 18 light
R_2BljfkLdWosAbun|17|a romantic partner|my arm|in my room or some other calm place|we cuddle and talk about various topics|showing affection|Yes, that would be okay.|tickling, presing, velvety, warm|1009.0|371.0|it makes me feel calm, happy, affectionate|comforting, gentle, friendly|YES, show me another video||1009.0|-371.0|horizontal finger|finger|horizontal|18|light|finger horizontal 18 light
