ResponseID|Touch No.|Social_self|Social_body|Social_place|Social_context|Intention&Purpose|Appropriateness|Sensory|Valence&Arousal_x|Valence&Arousal_y|Emotional_self|Emotional_touch|Continue|Input|Valence|Arousal|Type|Contact|Direction|Speed (cm/s)|Force|Touch_desc
R_VPAOHA8crKs3wT7|19|A loved one, perhaps a girlfriend|Wrist|Somewhere that is inteneded to make me uncomfortable, like a police interogation, and this person is consoling me to reassure me and comfort it|My arm is being stroked consoling|To console and reasure me|It depends (e.g. if they asked me for permission before or if they would stop when I asked them to)|A lady person's hand is stroking my arm in a consoling manner|1017.0|882.0|I feel comforted|Comforting|NO, I would like to finish the survey now.||1017.0|-882.0|horizontal hand|hand|horizontal|3|light|hand horizontal 3 light
R_3MAM1Rp9ibLoqr2|19|A Romantic Partner|My Chest|At my place|My romantic partner is just love tapping my chest with her hand.|Just playing around|It depends (e.g. if they asked me for permission before or if they would stop when I asked them to)|Rubbing|999.0|1218.0|Adoration|Arousing|NO, I would like to finish the survey now.||999.0|-1218.0|horizontal hand|hand|horizontal|3|light|hand horizontal 3 light
R_1Q6iRufY3s9Jp68|19|partner|hand, upper leg|at home|sitting and watching movie, just chilling|to show that we are close|Yes, that would be okay.|light tickling|1069.0|284.0|safe and love|warm and calming|YES, show me another video||1069.0|-284.0|horizontal hand|hand|horizontal|3|light|hand horizontal 3 light
R_3dSAAtKiKwXVAIQ|19|My girlfriend|They touch me on my face and my shoulder, also along my arm|We are at either my place or my apartment|Im going through a tough time and shes comforting me|They are trying to comfort me in order to make me feel safer|Yes, that would be okay.|Gentle, caring, connective|987.0|887.0|It makes me feel like im heard and im seen, makes me feel safe|Gentle and caring|YES, show me another video||987.0|-887.0|horizontal hand|hand|horizontal|3|light|hand horizontal 3 light
R_24vBRkUgWfaqAb1|19|my fiancee|arm|in the kitchen having dinner|he try to calm me|calm my nerve|Yes, that would be okay.|scrutching kindly|1158.0|590.0|very well and calm|kind|NO, I would like to finish the survey now.||1158.0|-590.0|horizontal hand|hand|horizontal|3|light|hand horizontal 3 light
R_1JF5d2brnFaAEfb|19|a romantic partner, girlfriend|hands|in a bedroom|We are watching tv with my girlfriend, and she strokes my hand|To show that she loves me.|Yes, that would be okay.|stroking, slow, warm, hot, soft|1184.0|563.0|joy, relief, happy, loved, connection,|Warm, Soothing, Arousing|NO, I would like to finish the survey now.||1184.0|-563.0|horizontal hand|hand|horizontal|3|light|hand horizontal 3 light
R_1H66tvU2cM7bbKh|19|Girlfriend|Hand|Home|We´re having a conversation and listen to music|Show affection|Yes, that would be okay.|Kind, sweet, tender, warm|1214.0|167.0|Cared, loved, secure|Sensual, comforting, gentle|YES, show me another video||1214.0|-167.0|horizontal hand|hand|horizontal|3|light|hand horizontal 3 light
R_7UL0au6i751OEhz|19|A family member|My arm|At my house|my arm is being touched by a family burger in my house.|to provide emotional support|Yes, that would be okay.|Fast, light|910.0|482.0|Happy, suprised|Gentle|NO, I would like to finish the survey now.||910.0|-482.0|horizontal hand|hand|horizontal|3|light|hand horizontal 3 light
R_2Yt6t2IhCw8dq4y|19|My niece|My arm|Dinner room|Im taking care of my niece|She wants ro play With me|Yes, that would be okay.|Tickling|913.0|801.0|Calm|Warm|YES, show me another video||913.0|-801.0|horizontal hand|hand|horizontal|3|light|hand horizontal 3 light
R_2fHYUlI3BhvQ5Wn|19|an acquaintance|head|public setting|someone is touching me on the head|i have no idea, i would not like someone to touch me like that|No, it would not be okay.|uncomfortable|165.0|157.0|uncomfortable|uncomfortable|NO, I would like to finish the survey now.|what do i type here?|165.0|-157.0|horizontal hand|hand|horizontal|3|light|hand horizontal 3 light
