ResponseID|Touch No.|Social_self|Social_body|Social_place|Social_context|Intention&Purpose|Appropriateness|Sensory|Valence&Arousal_x|Valence&Arousal_y|Emotional_self|Emotional_touch|Continue|Input|Valence|Arousal|Type|Contact|Direction|Speed (cm/s)|Force|Touch_desc
R_2DTgXhH3xjj4oqb|13|A doctor|Leg|In his office|He is making some tests on my leg which I have just injured|I think to test the importance of my injury|It depends (e.g. if they asked me for permission before or if they would stop when I asked them to)|Smooth and soft|677.0|754.0|Tention, anxiety, cautious|Uncomfortable|NO, I would like to finish the survey now.||677.0|-754.0|horizontal finger|finger|horizontal|3|light|finger horizontal 3 light
R_31NKnvRTAb7TvK1|13|a child|hand|home|child is playing|curiosity|Yes, that would be okay.|Sweeping Light|1123.0|232.0|Love|Enjoyable|NO, I would like to finish the survey now.||1123.0|-232.0|horizontal finger|finger|horizontal|3|light|finger horizontal 3 light
R_1kZwd5bK9XG3ZND|13|My partner|My shoulder|At home on the couch|My partner is moving their finger over my shoulder while we are watching tv|My partner is trying to get my attention|Yes, that would be okay.|Sweeping, stroking, soft.|807.0|718.0|Admiration, compassion|Gentle, friendly|YES, show me another video||807.0|-718.0|horizontal finger|finger|horizontal|3|light|finger horizontal 3 light
R_1j6W9YOx4jlIbT4|13|A child|Back of my hand|At home|This is something that my child would do to me to get my attention if he wants something|To get my attentipn|Yes, that would be okay.|Pointy|1209.0|735.0|If it was happening repeatedly I would feel touched out. But otherwise I would feel needed|Bonding|NO, I would like to finish the survey now.||1209.0|-735.0|horizontal finger|finger|horizontal|3|light|finger horizontal 3 light
R_2CyosM3dwMuSi3G|13|An acquaintance|Forearm|At a cafe|Chatting, getting to know each other|Flirting|It depends (e.g. if they asked me for permission before or if they would stop when I asked them to)|Soft, flirty sweeping|922.0|474.0|Wanted,|Soft and gentle|NO, I would like to finish the survey now.||922.0|-474.0|horizontal finger|finger|horizontal|3|light|finger horizontal 3 light
R_2pXKgVI7ZaAlstl|13|ROMANTIC PARTNER|MY genital area|in nature|I feel very tingly, i feel like I have escaped from earth, happy sensational feeling|to arouse me|Yes, that would be okay.|catching, embracing, tickling|1166.0|214.0|adoration, trust, thrill|arousing, sexy, pleasant|YES, show me another video||1166.0|-214.0|horizontal finger|finger|horizontal|3|light|finger horizontal 3 light
R_spOBeehadqPBugx|13|A loved one|Arm|In a park|We are enjoying the sunset|To feel connected.|Yes, that would be okay.|Kind of fast but gentle.|1132.0|698.0|Wanted|Calming and reassuring|NO, I would like to finish the survey now.||1132.0|-698.0|horizontal finger|finger|horizontal|3|light|finger horizontal 3 light
R_2SAF2fV5arSbcMy|13|My significant other|My hand|In a café|We are talking|Comfort and expressing affection|Yes, that would be okay.|Soft Stroking|1188.0|706.0|Happiness and Affection|Soft and gentle|NO, I would like to finish the survey now.||1188.0|-706.0|horizontal finger|finger|horizontal|3|light|finger horizontal 3 light
R_2TmETHQV3NFNZTZ|13|a partner|belly|in apartment|we're lying on the sofa|physical touch just to be closer, to feel other person|Yes, that would be okay.|soft, delicate,|1162.0|1012.0|loved, safe, comfortable|gentle and comfy|YES, show me another video||1162.0|-1012.0|horizontal finger|finger|horizontal|3|light|finger horizontal 3 light
R_3irRi2hiD3ipIYK|13|my little sister|my arm|at home|I am reading to her and she plays with my armhair|she is lost in the story I am reading and notices my arm, needs to do something with her hand|Yes, that would be okay.|soft, gentle, unintentional|823.0|839.0|amused, loved, funny|tickling, soft, gentle|NO, I would like to finish the survey now.||823.0|-839.0|horizontal finger|finger|horizontal|3|light|finger horizontal 3 light
