ResponseID|Touch No.|Social_self|Social_body|Social_place|Social_context|Intention&Purpose|Appropriateness|Sensory|Valence&Arousal_x|Valence&Arousal_y|Emotional_self|Emotional_touch|Continue|Input|Valence|Arousal|Type|Contact|Direction|Speed (cm/s)|Force|Touch_desc
R_A5nvUOtOfTrM5dT|23|My partner|My arm|At home|My partner is rubbing my arm|To comfort me|Yes, that would be okay.|Soft and tender|1083.0|1158.0|Comforted|Pleasant|NO, I would like to finish the survey now.||1083.0|-1158.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_1f0XeSxfLwanD7k|23|friend|forearm|inside house|we watch something|to tell me something|Yes, that would be okay.|Catching|1172.0|1158.0|Comfortable|Confident|NO, I would like to finish the survey now.||1172.0|-1158.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_6MwB6FKsUxXJ9df|23|Grandparents, old people|arm|Home, or work|show of affection|to give strenght, help, lend a hand|No, it would not be okay.|Kind, irritating, unnecesseary, helpfu,|486.0|775.0|angry, meh|warm, helpful, aiming for helping out|YES, show me another video||486.0|-775.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_2BbNRRZj32eHqPv|23|romantic partner|my thigh|in the car|we are going on a date|comforting me|Yes, that would be okay.|rubbing|1005.0|1218.0|safe and comforted|loving|NO, I would like to finish the survey now.||1005.0|-1218.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_3DdrZS6XZ2bt3kR|23|Girl Friend|Upper Back|In a room, environment where we are alone/private|I am upset about something and she is calming me down|The intention is to show simpathy and trying to show me that everything will be okay and that i do not have to worry about what is going on.|Yes, that would be okay.|The touch is soothing in a way to calm the person down and to show signs of simpathy.|1130.0|1001.0|I feel relaxed and calmed by the video, it makes me imagine myself being touched like that and i enjoy that thought.|Soothing and calming|YES, show me another video||1130.0|-1001.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_DSJbAGSWZD5jgd3|23|Girlfriend|Right arm|In my house|She is staying next to me, watching me working and just do the touching, while I'm using a computer.|Showing care and closeness|Yes, that would be okay.|It's more intense, kinda provocative|498.0|331.0|Just a bit annoyed|Alarming|NO, I would like to finish the survey now.||498.0|-331.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_2dYFsHPxjnhkvc3|23|Mom|my left shoulder|at home in the kitchen|I am sad about the events that happened today|mum wants me to feel better and know that nothing is wrong and I can always count on her|Yes, that would be okay.|fast, rubbing, rhytmic, vigoroust, strong, cold,|830.0|891.0|safe, comfortable, Empathy, disappointed|Comforting, Vivid, intense, confident|NO, I would like to finish the survey now.||830.0|-891.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_3mauw9A8PdFKRNI|23|Parents|Arm|Home|The person looks like is carecing my arm faster than usual.|The person looks like is trying to give me so comfort.|It depends (e.g. if they asked me for permission before or if they would stop when I asked them to)|Smooth, oiy, sudden|602.0|673.0|Unsettled, nervous|Aggressive, attention grabbing|NO, I would like to finish the survey now.||602.0|-673.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_27p6mwgUVBkWsDk|23|a romantic partner|upper shoulder|home|she gently touches the shoulder|make her feel more comftable|Yes, that would be okay.|rubbing the hand with the body, warm.|499.0|812.0|nausea|unpleasant if its someone else than partner|NO, I would like to finish the survey now.||499.0|-812.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_3DpdBaxVT6G9pDK|23|Somebody I know very well - partner or a very close (non-sexual) friend.|My hand or my back.|At home, in bed. Or in some sort of social event among good freinds.|It's a moment my partner or a very close friend is trying to be a bit annoying.|To be annoying and create physical discomfort.|It depends (e.g. if they asked me for permission before or if they would stop when I asked them to)|Fast, very private, annoying. Physical discomfort.|557.0|855.0|It doesn't have much affect on me. I feel a bit distressed and some discomfort.|fast, annoying.|YES, show me another video||557.0|-855.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_cIwZ2GT9Cp0vkpX|23|My sister|My hand|At home|She's expressing concern|She is worried aboyt my well being|Yes, that would be okay.|Soothing comforting appeasing|1226.0|196.0|I feel at peace and loved|warming gentle caring|NO, I would like to finish the survey now.||1226.0|-196.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_2BtSI1MdDGw2jtv|23|a close person|back|at home|one person rubs a part of other|to tell him/her that everything will be ok|Yes, that would be okay.|rubbing|960.0|365.0|Affection Trust|Reassuring Relaxing|NO, I would like to finish the survey now.||960.0|-365.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_3m4bZo3CVcssYiG|23|A romantic partner|My back|At home, working|Working and focusing on something on my laptop|Supporting me|Yes, that would be okay.|Soft, Calm|917.0|465.0|Happy, good|Pleasant, friendly|YES, show me another video||917.0|-465.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_1I6MGfcms4xJNcF|23|a family member|forearm|living room|im sad and the person in taking care of me in the living room without almost any light in the area|giving affection|Yes, that would be okay.|fast movement of the end kind strange in my opinion|523.0|568.0|giving me alert, because feels like he is waking me up of a nap|the toutch is alerming and vivid|YES, show me another video||523.0|-568.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_2w6T6hofEHDI0hj|23|My mum|My arm|At the park|I fell down and hurt my arm|To make me feel better|Yes, that would be okay.|Soft, carefull|1135.0|1139.0|Reassured|Soft|NO, I would like to finish the survey now.||1135.0|-1139.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_1Igxnvk9bQZ6uLe|23|with my boyfriend|My knee|At home, on my couch|we are watching a movie on the couch in the evening|give me goosebumps|Yes, that would be okay.|Molto piacevole|1105.0|466.0|Divertimento|Malizioso|YES, show me another video||1105.0|-466.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_2zbChN6cq6okkhW|23|wife|leg|at home|waking me up|waking me up|Yes, that would be okay.|pressing, slow|1003.0|702.0|Calmness|Delicate|YES, show me another video||1003.0|-702.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_3HPvmZtufU7e1nH|23|grandma|arm|in the kitchen sitting behind the kitchen table|I'm talking to grandma about stuff that is happening in my life and she is comforting me|to comfort me|Yes, that would be okay.|rubbing, warm, persistent, fast|1184.0|882.0|comfortable, connection, empathy|friendly, purposeful|NO, I would like to finish the survey now.||1184.0|-882.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_1DGT5He456PLaNX|23|My partner|Back|Home|Maybe I am stressed or had a bad day|Giving me support and comfort|Yes, that would be okay.|Petting, Rubbing Gently, Slow, Soft|1190.0|1166.0|Safe, Calm, Relived, Cared For, Confortable|Light, Loving, Caring, Tender, Protective, Reassuring, Meaningfull|NO, I would like to finish the survey now.||1190.0|-1166.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_10vdQWxNL4pRh80|23|client|forearm|at home|forearm massaging|I have no idea|Yes, that would be okay.|Sweeping|1012.0|360.0|relaxed|comfortable|YES, show me another video||1012.0|-360.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_3sdfXXD1FcqO51O|23|My mother|My head|We are at home|I fell and my mother is rubbing my head to soothe the pain|My mother wants to comfort me because I fell and hit my head|Yes, that would be okay.|Pain, throbbing, hurt|244.0|1108.0|Soothed|Soothing|NO, I would like to finish the survey now.||244.0|-1108.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_3w051FLwFPzPMOJ|23|Wife|Back|At home|Wife is rubbing my back as we hug for comfort.|To give emotional support and empathy.|Yes, that would be okay.|Sweet, comforting, emphatic.|1180.0|258.0|Happy and warm.|Gentle, intimate, sweet, enjoyable.|NO, I would like to finish the survey now.||1180.0|-258.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_NW7yJEyiLIxsyzf|23|a friend|My shoulders|At a café|I just told her I lost one of my pets and she is comforting me|To comfort me in my sadness and show love|Yes, that would be okay.|Soft, Gentle, Tapping|789.0|192.0|Affection, Trust, Calmness|Gentle, Comforting|NO, I would like to finish the survey now.||789.0|-192.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_55Bgh13JADKPdL3|23|Somebody I met who I have just got comfortable with|My wrist|Alone somewhere, maybe a living room|Having my wrist rubbed by somebody|Possibly as a sign of affection|It depends (e.g. if they asked me for permission before or if they would stop when I asked them to)|Rubbing|944.0|583.0|Relaxed|Sensual|YES, show me another video||944.0|-583.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_3jYXxLOJBXhBXxe|23|client|arm|office|We're talking f2f|I do not know|No, it would not be okay.|Puzzling and tense|399.0|175.0|Discomfort|Provocative|NO, I would like to finish the survey now.||399.0|-175.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_3HUH95CeXXGmb7G|23|friend|arm|at my house|I'm having anxiety issues|maybe calm me down|It depends (e.g. if they asked me for permission before or if they would stop when I asked them to)|friction and tough|706.0|964.0|tense|unpleasant|YES, show me another video||706.0|-964.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_RK1OnHq8yXlawsp|23|My significant other.|They touch my arm.|Sitting in the bed.|My significant other is comforting me when I'm feeling down by touching my arm in the specific way.|The intention is to comfort me, make me feel slightly better.|Yes, that would be okay.|The person is pressing, rubbing his/her palm against the skin of the other person softly.|1237.0|1206.0|The touch makes me feel good. By the looks of it it's a way to comfort someone which is not a bad thing at all.|Another way why I would imagine someone touching me like that would be arm burns.|YES, show me another video||1237.0|-1206.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_2axRIPqccerXrFf|23|a child|hair|home|i am playing with my little cousin|playfull|Yes, that would be okay.|fast, automatic|966.0|581.0|in a mood of playing|inocent|YES, show me another video||966.0|-581.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_2XhgdNu0DqtY78e|23|friend|arm|In public|calming|calm|Yes, that would be okay.|It for calming down|1095.0|438.0|i feel fine|the touch is friendly|YES, show me another video||1095.0|-438.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_3kHtzD99Ecv4Vm6|23|my significant other|he touches my leg|we are at a coffee shop|we are drinking coffee and he touches my leg playfully|he was to make a joke|Yes, that would be okay.|this is a bit itchy and tense|1136.0|373.0|i feel happy and excitement|the touch is enjoyable and intimate|YES, show me another video||1136.0|-373.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_1poDVOEjfv9zM5U|23|My girlfriend|My right forearm|At home, sitting on my personal computer|She is working next to me and i'm chilling|Getting attention or making me feel good|Yes, that would be okay.|Nice feeling, slow and warm|1237.0|163.0|I feel excitment knowing some one loves me and is very conforting|it's a sexy touch|NO, I would like to finish the survey now.||1237.0|-163.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_2QDu2TImqMPaaux|23|My child|My arm|In the lounge|My little boy and I are on the floor completing a puzzle.|He is getting my attention and also using the touching as a way to calm himself down after getting fustrated.|Yes, that would be okay.|Soft, comforting, stroking, warm|958.0|436.0|cared for and loved.|attention grabbing and looking for comfort.|YES, show me another video||958.0|-436.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_30wnM10wwHVoTH5|23|Friend|Shoulder|Friend's house|Friend is rubbing my shoulder in a mocking manner because I have just lost some sort of competition with them.|To mock me but in a friendly manner.|Yes, that would be okay.|Fast|884.0|803.0|As though I'm supposed to be made to feel comfortable but I'm being mocked.|Calming, but in a deceptive manner.|NO, I would like to finish the survey now.||884.0|-803.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_11b9suyjTlkSLPP|23|my mother|somewhere on my back|in the backyard on a sunny day|I felt something stinging or biting me|try to calm the itching from my back|Yes, that would be okay.|she is rubbing my back fast to help me|841.0|535.0|thankful to her for trying to help me|gentle and loving|NO, I would like to finish the survey now.||841.0|-535.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_6kWHlGzADxK1IGJ|23|Best friend|shoulder|at home|I am in a bad mood, and my friend is trying to cheer me up|Cheering up, providing comfort|Yes, that would be okay.|gentle, tender, warm, reassuring, sympathetic|1154.0|1112.0|understood, calm, better, reassured, taken care of|warm and gentle and soothing|NO, I would like to finish the survey now.||1154.0|-1112.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_3KNsuh3Wd18znbc|23|My partner|My back|At home|I am upset and he is rubbing my back|To calm and reassure me when I’m upset or unwell|Yes, that would be okay.|Reassuring, calming, gentle|736.0|766.0|Safe, vulnerable, reassured|Calming|YES, show me another video||736.0|-766.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_2AFtD3hzUhdOZou|23|With a romantic partner.|My hand|at restaurant.|we wating for waiter|Making attention|Yes, that would be okay.|friendly stroking|1025.0|345.0|I feel adoration|The touch is friendly|NO, I would like to finish the survey now.||1025.0|-345.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_3egYgkNociHnIBj|23|I'm with my father.|My father touches the top of my head.|I'm at home.|We are sitting and relaxing in the sofa.|The intention behind this kind of touch is to bond by physical contact. Me and my father used to do this a lot.|Yes, that would be okay.|The touch in the video seems to be applied via a rubbing and sweeping motion and is warm, light and consistent.|1089.0|1017.0|This touch makes me feel affection, calmness, compassion,empathy, love and vulnerable (in a good way).|The touch is calming, conforting, loving and reassuring.|NO, I would like to finish the survey now.||1089.0|-1017.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_UKrHtjeKnMyUxbP|23|My mother|My back|At my parents house|My mother is rubbing my back|To comfort me when I am upset|Yes, that would be okay.|The rubbing is causing friction on the arm|416.0|698.0|Irritable|Unpleasant|NO, I would like to finish the survey now.||416.0|-698.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_1rxHeBIjQghk1PH|23|family member|arm or back|at home|we are talking about something sad|the person wants to show me support, calm me down|Yes, that would be okay.|patting, hugging, soft, warm|1240.0|386.0|calmness, empathy, peacefulness|comforting, calming, relaxing, soothing, uplifting|YES, show me another video||1240.0|-386.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
R_2V3Jjl6ylD0wDh4|23|Grandmother|Hands and forearms|At her death bed|She's on end of life palliative care|To be in contact with a loved one and to not feel alone during this difficult transition in her life|Yes, that would be okay.|loving, caring, vulnerable, compassionate|1000.0|1184.0|connected, loved, upset, overwhelmed|soft, gentle, weak, longing|NO, I would like to finish the survey now.||1000.0|-1184.0|horizontal hand|hand|horizontal|18|light|hand horizontal 18 light
