ResponseID|Touch No.|Social_self|Social_body|Social_place|Social_context|Intention&Purpose|Appropriateness|Sensory|Valence&Arousal_x|Valence&Arousal_y|Emotional_self|Emotional_touch|Continue|Input|Valence|Arousal|Type|Contact|Direction|Speed (cm/s)|Force|Touch_desc
R_1BS2mG1zmCWGNn7|20|romantic partner|arm|sofa|we are whatching a movie|to confort|Yes, that would be okay.|smooth strokes|972.0|386.0|Happy and calm|bonding and calm|NO, I would like to finish the survey now.||972.0|-386.0|horizontal hand|hand|horizontal|3|strong|hand horizontal 3 strong
R_1o76Bg0zYRhy6AI|20|A friend|My shoulder|I'm at a social event with other friends|My friend is reassuring me after I've told him some news about myself.|He means to reassure me and communicate that he's there for me.|Yes, that would be okay.|Soothing, gentle, kind, respectful|1099.0|1126.0|relieved, connected, hopeful, grateful|reassuring|NO, I would like to finish the survey now.||1099.0|-1126.0|horizontal hand|hand|horizontal|3|strong|hand horizontal 3 strong
R_1HqIN9dPDwWZJ3Z|20|Girlfriend|Leg|Bar for drinks|Out on a date|Arousal|Yes, that would be okay.|Sensual|1186.0|704.0|Affectionate|Sensual|NO, I would like to finish the survey now.||1186.0|-704.0|horizontal hand|hand|horizontal|3|strong|hand horizontal 3 strong
R_6MwB6FKsUxXJ9df|20|stranger|arm, leg|bus, public transport|Someone touches me|I would not know, but it is creepy|No, it would not be okay.|Rubbing, fleshy, icky|165.0|159.0|bad, irritated, angry|discusting, bad|NO, I would like to finish the survey now.||165.0|-159.0|horizontal hand|hand|horizontal|3|strong|hand horizontal 3 strong
R_a4CAYq7VPhZ3Q3v|20|friend|shoulder and back|living room|discussing problems and difficulties in life and work struggles|comforting|Yes, that would be okay.|embracing, hugging, holding, slow, hard, firm|1172.0|232.0|affection, belonging, compassion, gratitude, relief, trust, safe, vulnerable|comforting, calming, intense, intimate, soothing, warm|NO, I would like to finish the survey now.|thanks|1172.0|-232.0|horizontal hand|hand|horizontal|3|strong|hand horizontal 3 strong
R_32VJbQxcfHQDLu1|20|a friend|my arm|a coffee shop|He is most probably comforting me|Trying to soothe my anxiety or make me feel a little better after a stressful day.|Yes, that would be okay.|Gentle yet strong|910.0|678.0|Comforted|Bonding and calming, yet assertive|YES, show me another video||910.0|-678.0|horizontal hand|hand|horizontal|3|strong|hand horizontal 3 strong
R_1lmZ9g5yYqXmksB|20|A family member|my arm|in my bedroom|i'm sick and lying down|soothe me with your love|It depends (e.g. if they asked me for permission before or if they would stop when I asked them to)|making affection with the hand|956.0|848.0|comforted|affectionate|NO, I would like to finish the survey now.||956.0|-848.0|horizontal hand|hand|horizontal|3|strong|hand horizontal 3 strong
R_2pS2PlA60CaoVnB|20|I'm with a family member|My thigh|I'm at home|I would be laying down in bed reading a book, a family member would sit next to me and gently touch my thigh, telling me dinner is ready. I would feel very warm and protected|To show affection|Yes, that would be okay.|Vibrating,Slow, Smooth|1164.0|904.0|This touch makes me feel loved and compassionate.|The touch is comforting and intimate|YES, show me another video||1164.0|-904.0|horizontal hand|hand|horizontal|3|strong|hand horizontal 3 strong
R_ypxWwYivzTz68Jr|20|A family member|My arm|At home sitting in the living room|I have been talking to them about some personal issues and I get emotional and upset.|They are trying to calm me down and reassure me that it will be ok.|Yes, that would be okay.|Pressing, warm, intense|706.0|694.0|Surprised , focused, calm|Distracting,intense, vague|YES, show me another video||706.0|-694.0|horizontal hand|hand|horizontal|3|strong|hand horizontal 3 strong
R_2sSbK7NADHE9gZK|20|a doctor|my back|at a doctor's office|he is examining my body to fix my muscle issues|healing|Yes, that would be okay.|Rubbingn rhytmic,|712.0|1015.0|Comfortable, Focused, Trust|Comforting, Gentle, Purposeful|NO, I would like to finish the survey now.||712.0|-1015.0|horizontal hand|hand|horizontal|3|strong|hand horizontal 3 strong
