ResponseID|Touch No.|Social_self|Social_body|Social_place|Social_context|Intention&Purpose|Appropriateness|Sensory|Valence&Arousal_x|Valence&Arousal_y|Emotional_self|Emotional_touch|Continue|Input|Valence|Arousal|Type|Contact|Direction|Speed (cm/s)|Force|Touch_desc
R_1E1hmPQ0PvgTH68|16|my girlfriend|neck|at home on the sofa|we are cuddling|to make me feel good and not stressed|Yes, that would be okay.|rubbing, light, fluid|966.0|454.0|trust, calmness, comfortable|tender, delicate|YES, show me another video||966.0|-454.0|horizontal finger|finger|horizontal|9|strong|finger horizontal 9 strong
R_WxkuKI0eydFGYuJ|16|My mother|My shoulder|In the living room|I'm sitting on the couch in the living room with my headsets. I'm focusing on the movie I'm watching and my mother touches me on my shoulder.|She wants to say something and touches me to get my attention to listen to her.|Yes, that would be okay.|Tapping, Persistent, light|1041.0|873.0|Surprised|Attention grabing|YES, show me another video||1041.0|-873.0|horizontal finger|finger|horizontal|9|strong|finger horizontal 9 strong
R_2Br4ScsyDp964LE|16|My girlfriend|My neck|At home in the bedroom|My girlfriend is touching my neck|To see that I can feel or give me affection|Yes, that would be okay.|Pressing, Rubbing and Sweaty.|1023.0|898.0|Affection,cautious,calmness|Arousing, Relaxing and Calming|NO, I would like to finish the survey now.||1023.0|-898.0|horizontal finger|finger|horizontal|9|strong|finger horizontal 9 strong
R_VOsyEd9vsU8kR1f|16|I'm with my girlfriend.|The spot as in the video, on my forearm.|On my house, on the sofa.|We are playing a board game, my arm is on the table, my girlfriend is in front of me with her arm half extended as to reach my forearm and touch it.|Love expression.|It depends (e.g. if they asked me for permission before or if they would stop when I asked them to)|After some time, a burning sensation starts as the friction is too much. It isn't pleasant, but I like the physical contact.|1005.0|956.0|I feel alerted be the physical contact, but I like it and feel safe as I know my girlfriend will stop if I ask her to.|The touch is light and long.|NO, I would like to finish the survey now.||1005.0|-956.0|horizontal finger|finger|horizontal|9|strong|finger horizontal 9 strong
R_3pa2cwJrTm23zCF|16|friend|hand|house|making fun|to make fun with me|Yes, that would be okay.|strong, tickling|802.0|1036.0|joy|enjoiable, warm|NO, I would like to finish the survey now.||802.0|-1036.0|horizontal finger|finger|horizontal|9|strong|finger horizontal 9 strong
R_305zSXHlRB7K0rG|16|a romantic partner|my hand|at home (bedroom)|we are talking and my partner is massaging my hand|The intention of my partner is to show affection.|Yes, that would be okay.|Dragging, Patting, Consistent, Smooth, Diffuse|1023.0|585.0|Affection, Calmness, Peacefulness, Amusement|Attention Grabbing, Bonding, Calming, Comforting, Gentle, Soothing|NO, I would like to finish the survey now.||1023.0|-585.0|horizontal finger|finger|horizontal|9|strong|finger horizontal 9 strong
R_3hAx7OjtreUxGo9|16|My wife|My back|On the sofa|we are watching TV|Love and to feel nice|Yes, that would be okay.|Soft pressing|1073.0|474.0|Calmness|Calming|NO, I would like to finish the survey now.||1073.0|-474.0|horizontal finger|finger|horizontal|9|strong|finger horizontal 9 strong
R_12LtthEf19708TV|16|A creepy stranger|Arm|Maybe at a restaurant or somewhere public|The stranger (a man) is trying to flirt but being weird and creepy|The intention is flirting but it is not received that way|No, it would not be okay.|The touch is overly personal from someone who you aren't close to. It is weird and creepy.|253.0|1139.0|I feel frightened, like I should get away quickly|The touch I'd unwanted and unwelcome|NO, I would like to finish the survey now.||253.0|-1139.0|horizontal finger|finger|horizontal|9|strong|finger horizontal 9 strong
R_025p5z4wQSA404F|16|A partner|Chest|Bedroom|we are sleeping|To grab my attention|Yes, that would be okay.|light and sweat|1010.0|1210.0|Excitement and Thrilled|Gentle and Meaningful|NO, I would like to finish the survey now.||1010.0|-1210.0|horizontal finger|finger|horizontal|9|strong|finger horizontal 9 strong
R_2ta3tJaft1U5jhn|16|my mother|my back|home|my mother is touching my back|to see if that area is hard|Yes, that would be okay.|Sweeping,Mechanical|1142.0|178.0|Relief,Affection|Delicate|NO, I would like to finish the survey now.||1142.0|-178.0|horizontal finger|finger|horizontal|9|strong|finger horizontal 9 strong
