ResponseID|Touch No.|Social_self|Social_body|Social_place|Social_context|Intention&Purpose|Appropriateness|Sensory|Valence&Arousal_x|Valence&Arousal_y|Emotional_self|Emotional_touch|Continue|Input|Valence|Arousal|Type|Contact|Direction|Speed (cm/s)|Force|Touch_desc
R_1JWSQudNPRn0WII|10|my girlfriend|my shoulder|in my house|she is touching me to get my attention|get my attention|Yes, that would be okay.|gentle, light|952.0|861.0|happy|Comforting|NO, I would like to finish the survey now.||952.0|-861.0|vertical hand|hand|vertical|9|strong|hand vertical 9 strong
R_cDbKvijeyt8bbhL|10|an acquaintance|Shoulder|At a bar|We are talking about the past|To show friendliness|Yes, that would be okay.|Neutral or friendly short touch|779.0|617.0|Neutral to maybe a little happy|Neutral to friendly|NO, I would like to finish the survey now.||779.0|-617.0|vertical hand|hand|vertical|9|strong|hand vertical 9 strong
R_2f85TGu0S3GxH6t|10|Mother|Hand|Home|She touching my hand|She wants to have my attention|It depends (e.g. if they asked me for permission before or if they would stop when I asked them to)|Its okay touch|947.0|885.0|Its feel emotional, sensitive|sensitive|YES, show me another video||947.0|-885.0|vertical hand|hand|vertical|9|strong|hand vertical 9 strong
R_3MAM1Rp9ibLoqr2|10|a friend|my shoulder|my house|I am speaking about my feeling or a situation that has happened and how it affected me.|To comfort me|Yes, that would be okay.|fleshy patting|1192.0|1194.0|Affection|calming|YES, show me another video||1192.0|-1194.0|vertical hand|hand|vertical|9|strong|hand vertical 9 strong
R_3m2ZkmwjcBEFTO6|10|A friend and confidant.|The hand or the forearm.|At a café, or at the friend's house, or at home.|They are lightly patting my forearm or hand, maybe multiple times in a row.|To comfort and reassure me.|Yes, that would be okay.|Slight, quick, repeated, patting.|1001.0|1158.0|Conforted and connected.|Friendly, warm, reassuring.|NO, I would like to finish the survey now.||1001.0|-1158.0|vertical hand|hand|vertical|9|strong|hand vertical 9 strong
R_yEkq3X2srlx7tcJ|10|Family member|Hand|AT home|I do not know|I do nit know|Yes, that would be okay.|Rhytmic|445.0|670.0|Wonder|Suspicious|YES, show me another video||445.0|-670.0|vertical hand|hand|vertical|9|strong|hand vertical 9 strong
R_2EtKAZLM6uIFSyB|10|a friend|shoulder|at a cafe|I'm talking to some friends, where I reveal something that's making me a bit deppressed or sad and as they try to confort me, one of my friends pats me in the shoulder a few times|To feel more connected, to feel like he's being honest with the help he's giving|Yes, that would be okay.|Patting strongly|468.0|980.0|This touch on the video kinda makes me feel.. weird a bit distressed maybe?|Intense|NO, I would like to finish the survey now.||468.0|-980.0|vertical hand|hand|vertical|9|strong|hand vertical 9 strong
R_1kZwd5bK9XG3ZND|10|A friend|My head|In my friends' house|My friend is tapping my head as a joke for doing something well|Teasing and complimenting|Yes, that would be okay.|Patting, firm, slow|587.0|728.0|Amusement, Sarcastic|Annoying, delicate, funny|NO, I would like to finish the survey now.||587.0|-728.0|vertical hand|hand|vertical|9|strong|hand vertical 9 strong
R_1r2kzdhDx6lBNsg|10|Dentist|Shoulder.|Dentist|They're reassuring me during treatment.|To reassure.|Yes, that would be okay.|Tapping.|947.0|713.0|Gratitude.|Calming, gentle, reassuring.|NO, I would like to finish the survey now.||947.0|-713.0|vertical hand|hand|vertical|9|strong|hand vertical 9 strong
R_1LZnRL9SXC5CF4w|10|friend|arm|in their home|having a chat|to get attention or to show mock patronisation|It depends (e.g. if they asked me for permission before or if they would stop when I asked them to)|close. persistent. patronising.|754.0|644.0|amused. annoyed. fine|close|NO, I would like to finish the survey now.||754.0|-644.0|vertical hand|hand|vertical|9|strong|hand vertical 9 strong
R_1I6MGfcms4xJNcF|10|family member|forearm|almost passed out|series of intervsal toutches with some intensity|if im alive or awake|It depends (e.g. if they asked me for permission before or if they would stop when I asked them to)|intense, alarming,  tense, vivid|257.0|495.0|agitation, tense, surprised, nervous|alarming, vivid, stressed,  creepy|NO, I would like to finish the survey now.||257.0|-495.0|vertical hand|hand|vertical|9|strong|hand vertical 9 strong
R_3m8Ehw5AK98AGDb|10|I'm with a family member|The person is touching my shoulder from the back|I'm in my room watching a movie|the person is touching my shoulder trying to get my attention because I am watching a movie with headphones on and I couldn't hear her whilst she was calling me out|She is trying to get my attention because she called out my name and I couldn't respond to her.|Yes, that would be okay.|The person is maybe trying to see if he can get a reaction from repeatedly pressing on the partner's hand. Maybe he is trying to get blood flowing within.|931.0|1123.0|I feel Calm|The touch is warm and purposeful|NO, I would like to finish the survey now.||931.0|-1123.0|vertical hand|hand|vertical|9|strong|hand vertical 9 strong
R_1mzyLW9r8fbQkI3|10|A friend or someone from my family|Touching part of my forearm|I am in a table seated or perhaps a couch|We are in a conversation and the person is touching my arm|trying to get me to pay attention to them|Yes, that would be okay.|Light, tender, careful, patting, tapping, consistent,fast|910.0|944.0|I feel calm, collected and with affection|besides attention grabbing, the touch is light and calm|NO, I would like to finish the survey now.||910.0|-944.0|vertical hand|hand|vertical|9|strong|hand vertical 9 strong
R_1Igxnvk9bQZ6uLe|10|Con un medico|La coscia|In ambulatorio|Mi sta visitando|Verificare la mia percezione|Yes, that would be okay.|Meccanico e professionale|698.0|1071.0|Attento|Metodico|YES, show me another video||698.0|-1071.0|vertical hand|hand|vertical|9|strong|hand vertical 9 strong
R_2dYofj96jhop6NQ|10|I am with a close friend|He touchs my forearm|We are in a bar|he is trying to annoy me|he is trying to annoy me|Yes, that would be okay.|Holding|708.0|922.0|Boredom|Annoying|YES, show me another video||708.0|-922.0|vertical hand|hand|vertical|9|strong|hand vertical 9 strong
R_vIERw3rIQ4BsmOt|10|Relative|Shoulder|At a relatives house|My relative is touching my shoulder to aknowledge something good I've done|"To show that he/she is proud. Like a ""well done"""|Yes, that would be okay.|Localized, almost mechannical|797.0|637.0|I feel a bit patronised|Is ok. Friendly, but kind of irritating at the same time|YES, show me another video||797.0|-637.0|vertical hand|hand|vertical|9|strong|hand vertical 9 strong
R_saKJmpVAWttMalj|10|Child|Hand|In living room|Talking with family/friends|To annoy me or have my attention|No, it would not be okay.|Itchy, annoying, tapping, Rhytmic, medium strenght, Localized|365.0|345.0|Annoyed, nagging, uncomfortable|Annoying, repetitive, uneven, unpleasant, uncomfortable|NO, I would like to finish the survey now.||365.0|-345.0|vertical hand|hand|vertical|9|strong|hand vertical 9 strong
R_ddqMSB1LDA3d8fT|10|a friend|hand|at a cafe|were having a catch up|agreeing with what im saying|No, it would not be okay.|persistent tapping|482.0|345.0|irritated|annoying|NO, I would like to finish the survey now.||482.0|-345.0|vertical hand|hand|vertical|9|strong|hand vertical 9 strong
R_3sdfXXD1FcqO51O|10|My grandmother|She touches my hand in a similar way while she tells me something she's excited about.|I am at my fathers house, and my grandmother came to visit.|I am having a conversation with my grandmother|She means it in a way to keep my attention while she tells me about the thing that is making her feel excited.|Yes, that would be okay.|Gentle patting|1124.0|1118.0|Comfortable|Comforting|YES, show me another video||1124.0|-1118.0|vertical hand|hand|vertical|9|strong|hand vertical 9 strong
R_3w051FLwFPzPMOJ|10|Friend|Upper arm|At the soccer field playing.|Having some fun before match, stretching, talking.|Showing friendship and support for the event ahead.|Yes, that would be okay.|Very light, kind of awkward and hesitating, but somewhat very repetitive and persistent.|795.0|789.0|Somewhat awkward but happy.|Awkward, persistent, but with good intentions.|YES, show me another video||795.0|-789.0|vertical hand|hand|vertical|9|strong|hand vertical 9 strong
R_2CVuY72KU7i2Suc|10|a family member|back or shoulder|home|describing a stressful situation to which the other person does this type of touch to give comfort|giving comfort|Yes, that would be okay.|the person is tapping the other person's arm lightly|842.0|537.0|calmness|calming|YES, show me another video||842.0|-537.0|vertical hand|hand|vertical|9|strong|hand vertical 9 strong
R_1mQ4hautkKjQwIi|10|An acquaintance.|My shoulder.|In the street.|We are greeting each other.|To show friendship and admiration.|Yes, that would be okay.|Soft patting.|972.0|827.0|Admiration.|Friendly.|NO, I would like to finish the survey now.||972.0|-827.0|vertical hand|hand|vertical|9|strong|hand vertical 9 strong
R_2wSuSUsW4Dihbqw|10|friend|forearm|at home|watching a movie|to show affection|Yes, that would be okay.|patting|720.0|672.0|affection, comfort|comforting|NO, I would like to finish the survey now.|60f7da3cfc0813737c408ce3|720.0|-672.0|vertical hand|hand|vertical|9|strong|hand vertical 9 strong
R_3HiWQmqbPJBJhFa|10|I am with a friend|He touches my shoulder|In the street|He touches my shoulder to bring my attention to him|He wants to let me know that he is standing behind me|Yes, that would be okay.|The touch is strong, irregular. He is pressing my shoulder.|822.0|436.0|I feel excited and surprised|The touch is attention grabbinga, friendly and warm|NO, I would like to finish the survey now.||822.0|-436.0|vertical hand|hand|vertical|9|strong|hand vertical 9 strong
R_1ltPTekC92J5Mgx|10|Perhaps a child or a collegue, maybe a romantic partner|Arms and hands|Public setting, I'd say|Someone is reaching and forcefully tapping aother person|Calling for attention|Yes, that would be okay.|Pressing, and tapping|714.0|698.0|Alert and aware|insistent and demanding|NO, I would like to finish the survey now.||714.0|-698.0|vertical hand|hand|vertical|9|strong|hand vertical 9 strong
