ResponseID|Touch No.|Social_self|Social_body|Social_place|Social_context|Intention&Purpose|Appropriateness|Sensory|Valence&Arousal_x|Valence&Arousal_y|Emotional_self|Emotional_touch|Continue|Input|Valence|Arousal|Type|Contact|Direction|Speed (cm/s)|Force|Touch_desc
R_3pa2cwJrTm23zCF|1|my partner|my chest|at my house|he is touching me while i have my eyes closed|relief my anxiety|Yes, that would be okay.|relief, relaxing, calm|1091.0|1170.0|calm|relaxing|YES, show me another video||1091.0|-1170.0|vertical finger|finger|vertical|3|light|finger vertical 3 light
R_2U2QiNRSqaxejdn|1|a Doctor|My Foot|At a doctor's office|I had an injury and the Doctor examines the specific spot|To examine the injury|Yes, that would be okay.|Cold, Mechanical|702.0|992.0|Trust, Secure|Clean, Purposeful|NO, I would like to finish the survey now.||702.0|-992.0|vertical finger|finger|vertical|3|light|finger vertical 3 light
R_6MwB6FKsUxXJ9df|1|an acquaintance, someone not as close to me|Shoulder|street, outside, with a lot of people around|walking around the city|to grab attention|Yes, that would be okay.|Tapping with normal strenght, not hard nor angry.|900.0|561.0|Suprised, focused|with intent|YES, show me another video||900.0|-561.0|vertical finger|finger|vertical|3|light|finger vertical 3 light
R_2cuRkGjt232mWsZ|1|a family member|the upper arm|at a cafè|my best friend is trying to tell me a personal fact, an episode that happened to her|The friend is trying to show empathy|It depends (e.g. if they asked me for permission before or if they would stop when I asked them to)|the touch is delicate but insistent and on a part of the body too intimate and personal; light, insistent delicate|707.0|778.0|nervous, careful|irritating, light, delicate, coercitive|NO, I would like to finish the survey now.||707.0|-778.0|vertical finger|finger|vertical|3|light|finger vertical 3 light
R_1kZwd5bK9XG3ZND|1|A doctor|My arm|In the doctors office|The doctor is checking my arm on something|They're trying to find out what problems I have with this technique|It depends (e.g. if they asked me for permission before or if they would stop when I asked them to)|Light, tapping|607.0|704.0|Wonder|Purposeful|YES, show me another video||607.0|-704.0|vertical finger|finger|vertical|3|light|finger vertical 3 light
R_2WDzHxMEk6l5yKI|1|a friend|my forearm|in my room|My friend is touching me on my forearm|Probably to mess with me, maybe to try and provoke me. To see my reaction if he does this.|It depends (e.g. if they asked me for permission before or if they would stop when I asked them to)|Tapping, mushy, localized, chilly, soft|672.0|597.0|Confusion, impatience, surprised|gentle|NO, I would like to finish the survey now.||672.0|-597.0|vertical finger|finger|vertical|3|light|finger vertical 3 light
R_12aLdbXxHBszlz8|1|A colleague|My hand|At work|The person is slowly touching my hand.|I am not aware of their intentions.|No, it would not be okay.|cold|716.0|702.0|Irritated|Cold|NO, I would like to finish the survey now.||716.0|-702.0|vertical finger|finger|vertical|3|light|finger vertical 3 light
R_2bPffxJueOg4hIQ|1|a child|hand|at home|the child touches my hand gently|I think he wants to get my attention|Yes, that would be okay.|regular, gentle, soft|1004.0|731.0|Calmness, Empathy, Focused, Sympathy|Calming, Placid, Pleasant, Soothing, Suspicious, Tender|NO, I would like to finish the survey now.||1004.0|-731.0|vertical finger|finger|vertical|3|light|finger vertical 3 light
R_ApVvCjaFSnrILdL|1|a doctor|any check-up points|at the doctor's office|doing basic tests to ascertain whether I have some issues|doing basic tests to ascertain whether I have some issues|Yes, that would be okay.|light, non personal, looking for attention|773.0|781.0|neutral, it has nothing personal to it|genlte, polite|YES, show me another video||773.0|-781.0|vertical finger|finger|vertical|3|light|finger vertical 3 light
R_Rrvg2mprAVl6dMJ|1|a stranger|he touches my arm|in a cafe|Im in a cafe shopping waiting after ordering my latte|He is calling me to give me my coffee because I didn't hear him calling my name|Yes, that would be okay.|tapping|1210.0|1222.0|craving and happy|light and pleasant|NO, I would like to finish the survey now.||1210.0|-1222.0|vertical finger|finger|vertical|3|light|finger vertical 3 light
R_AhtuJj70eZmowDf|1|A colleague|Shoulder|At work|They’re trying to get my attention|To get my attention|Yes, that would be okay.|Tapping lightly|914.0|981.0|Grateful|Clean attentive|NO, I would like to finish the survey now.||914.0|-981.0|vertical finger|finger|vertical|3|light|finger vertical 3 light
R_2fHYUlI3BhvQ5Wn|1|a child|arm|a residence|someone is tapping me on the arm|to attract my attention|Yes, that would be okay.|tentative, hesitant|706.0|700.0|neutral|hesitant|YES, show me another video||706.0|-700.0|vertical finger|finger|vertical|3|light|finger vertical 3 light
R_vpoK4rzfHffgnKN|1|My best friend|My arm|In the beach, laying on the ground in our towels|My friend and I, we are talking about daily stuff that happens in our lives.|we are really close, so we enjoy physical touch while we talk, so the intention is to make me feel good.|Yes, that would be okay.|Soft, gentle, soothing, cute.|1091.0|426.0|I feel connected to my friend, I feel taken care of|Relaxing, soothing, intimate, tender|YES, show me another video||1091.0|-426.0|vertical finger|finger|vertical|3|light|finger vertical 3 light
R_28YRFz2WfcBePcp|1|a friend|my back|walking in the city|my friend is teasing me|just being fun and playful|Yes, that would be okay.|tapping, stroking, fast|1216.0|704.0|Trust and joy|Comforting, pleasant, vivid|NO, I would like to finish the survey now.||1216.0|-704.0|vertical finger|finger|vertical|3|light|finger vertical 3 light
R_3MtkTX2wII2rIP2|1|my baby brother|on my forearm|at home, in the living room, laying down on the sofá|the tv is playing some videos about The Sims 4|to get my attention|It depends (e.g. if they asked me for permission before or if they would stop when I asked them to)|Delicate, Poking, Pressing and Light|1108.0|843.0|Relaxed and Comfortable|Delicate and Soft|YES, show me another video||1108.0|-843.0|vertical finger|finger|vertical|3|light|finger vertical 3 light
R_27NlbfB828Exueh|1|A friend|My arm|In class|My friend touched my arm for me to notice something or to catch my attention.|To grab my attention.|Yes, that would be okay.|Freezing, Grabbing, rapid.|1134.0|1130.0|I feel affection and I am more focused.|The touch is tender.|NO, I would like to finish the survey now.||1134.0|-1130.0|vertical finger|finger|vertical|3|light|finger vertical 3 light
