Word,Total_Freq,var,video_1,video_2,video_3,video_4,video_5,video_6,video_7,video_8,video_9,video_10,video_11,video_12,video_13,video_14,video_15,video_16,video_17,video_18,video_19,video_20,video_21,video_22,video_23,video_24,videos_3_11_7_19_17_23_9_1_21_5_13_15,videos_16_22_14_12_4_2_10_8_24_6_18_20,videos_16_14_3_4_2_17_6_18_1_5_13_15,videos_22_11_12_7_19_10_8_24_23_9_20_21,videos_16_22_14_19_17_24_18_23_20_21_13_15,videos_3_11_12_7_4_2_10_8_6_9_1_5,videos_14_7_19_2_8_20_1_13,videos_16_22_3_4_10_9_21_15,videos_11_12_17_24_6_18_23_5
area,9,Betabinom_Hellinger,0.717230623757554,0.209627164479172,0.5995276215682386,0.2249243838133157,0.2030441137098962,0.2123249304435799,0.1893739976184436,0.2322533439659624,0.2150596742489523,0.2292931579608117,0.2030441137098962,0.2220591193207002,0.1942151672343673,0.2150596742489523,0.4387959210208413,0.4160000591320401,0.2056496928285834,0.2056496928285834,0.4471059257926574,0.2043422971930434,0.4056163344745024,0.2082921232552918,0.2136876740675727,0.2056496928285834,0.682339801353568,-0.676323306430224,0.5160741701291215,-0.5150238336055222,-0.1423929935455455,0.1403410123120641,0.2683478243311834,0.441842584072078,-0.6242428535971772
laying,11,Betabinom_Hellinger,0.6921267235775708,0.1827717617110576,0.1867673685908629,0.4195062965444157,0.1763864292462073,0.185421921734559,0.1635806062018349,0.2054762343482977,0.408614387462092,0.2024517853417448,0.1763864292462073,0.1951225475712972,0.1680355081290581,0.1881263322321481,0.690044432005201,0.1657787369122551,0.1788991228228064,0.5627507462007117,0.1951225475712972,0.177635828616983,0.1573453466752144,0.1814671478178884,0.1867673685908629,0.3979557929727533,0.2693786275355743,-0.2661930192332141,0.6393966516365494,-0.638248588484946,0.0651266548840676,-0.0641216703143531,-0.1018003032291841,0.3029144785533988,-0.1059212531701455
transport,12,Betabinom_Hellinger,0.6801988606092488,0.3873805804652979,0.1752969546079692,0.5678497022944458,0.3794774820419943,0.1739965648696601,0.1535084536464059,0.1936692460182061,0.1766137596681214,0.1906681788585871,0.1653610994362445,0.1834412340469898,0.1575683125631158,0.3937920674298192,0.1752969546079692,0.5337110581109288,0.1677439742602904,0.1677439742602904,0.1834412340469898,0.3810484531306247,0.14797520432555,0.1701947658820289,0.1752969546079692,0.3826242051923348,-0.4041239310610104,0.3996568594632196,0.6891703749610335,-0.6880159166235958,-0.2288801500489633,0.2256413765223381,0.4011486559575247,0.0841021848070298,-0.3458897132804699
library,5,Betabinom_Hellinger,0.6685309439793693,0.2812510313357614,0.5131230826709581,0.2942592673482925,0.2755244930544909,0.2835733486875226,0.2633054070007289,0.3003714843976413,0.5141065882838061,0.5240966140197421,0.2755244930544909,0.2918503386082548,0.2676902422240788,0.2859142737697541,0.2847414637467435,0.2654896561017791,0.2778017183888756,0.2778017183888756,0.2918503386082548,0.2766608993340963,0.2568484713696909,0.2800967455435655,0.2847414637467435,0.2778017183888756,0.3904402147984904,-0.3858977471808044,0.133756564454179,-0.1334307755211625,-0.6771148299334342,0.6696564719240254,0.1730913037521743,0.3990671423809362,-0.4117985131711189
conversation,2,Betabinom_Hellinger,0.5895602184843975,0.3575752217435916,0.3600947646046201,0.3669368400836937,0.3534285866121355,0.359252214896179,0.3445216372763579,0.3713104157725992,0.3609400593359503,0.3695515829844765,0.3534285866121355,0.3652088866184905,0.3477277007577249,0.3609400593359503,0.3600947646046201,0.5786382081832007,0.3550795308200997,0.3550795308200997,0.3652088866184905,0.3542527931451879,0.3397788163044498,0.3567407154554617,0.3600947646046201,0.3550795308200997,-0.0167873807589287,0.0165901834713648,0.3699284164256083,-0.3690460183041019,-0.0203207508006679,0.020032527847675,0.2206986507973782,0.2189573334010836,-0.1570357064962235
session,2,Betabinom_Hellinger,0.5895602184843975,0.3575752217435916,0.5883852581231005,0.3669368400836937,0.3534285866121355,0.359252214896179,0.3445216372763579,0.3713104157725992,0.3609400593359503,0.3695515829844765,0.3534285866121355,0.3652088866184905,0.3477277007577249,0.3609400593359503,0.3600947646046201,0.3461201281445933,0.3550795308200997,0.3550795308200997,0.3652088866184905,0.3542527931451879,0.3397788163044498,0.3567407154554617,0.3600947646046201,0.3550795308200997,0.3606785582094125,-0.356212572312355,0.3699284164256083,-0.3690460183041019,-0.3914549210435961,0.3857856629796691,0.2206986507973782,0.2189573334010836,-0.1570357064962235
escalator,2,Betabinom_Hellinger,0.5895602184843975,0.3575752217435916,0.3600947646046201,0.3669368400836937,0.3534285866121355,0.359252214896179,0.3445216372763579,0.3713104157725992,0.3609400593359503,0.3695515829844765,0.3534285866121355,0.3652088866184905,0.3477277007577249,0.3609400593359503,0.3600947646046201,0.5786382081832007,0.3550795308200997,0.3550795308200997,0.3652088866184905,0.3542527931451879,0.3397788163044498,0.3567407154554617,0.3600947646046201,0.3550795308200997,-0.0167873807589287,0.0165901834713648,0.3699284164256083,-0.3690460183041019,-0.0203207508006679,0.020032527847675,0.2206986507973782,0.2189573334010836,-0.1570357064962235
hanging,2,Betabinom_Hellinger,0.5895602184843975,0.3575752217435916,0.5883852581231005,0.3669368400836937,0.3534285866121355,0.359252214896179,0.3445216372763579,0.3713104157725992,0.3609400593359503,0.3695515829844765,0.3534285866121355,0.3652088866184905,0.3477277007577249,0.3609400593359503,0.3600947646046201,0.3461201281445933,0.3550795308200997,0.3550795308200997,0.3652088866184905,0.3542527931451879,0.3397788163044498,0.3567407154554617,0.3600947646046201,0.3550795308200997,0.3606785582094125,-0.356212572312355,0.3699284164256083,-0.3690460183041019,-0.3914549210435961,0.3857856629796691,0.2206986507973782,0.2189573334010836,-0.1570357064962235
dentist,3,Betabinom_Hellinger,0.5614004205541022,0.3289257160294674,0.33182817481847,0.3397183208367803,0.3241525810888122,0.3308573902164251,0.3139163088090201,0.3447679012070975,0.3328023077005735,0.5681350226964693,0.3241525810888122,0.3377245695536572,0.3175981965698343,0.3328023077005735,0.33182817481847,0.3157516530882007,0.326052400055606,0.5555533827183048,0.3377245695536572,0.3251009405351179,0.3084753679800236,0.3279647534223228,0.33182817481847,0.326052400055606,-0.1832100977309111,0.1809320328850051,0.1613953286707604,-0.1609947276915887,-0.1871331613077607,0.1843334322944755,0.1093574549610003,0.1074077094552532,0.1059488452816274
sleeping,3,Betabinom_Hellinger,0.5614004205541022,0.5577315940417712,0.33182817481847,0.3397183208367803,0.5541104567755374,0.3308573902164251,0.3139163088090201,0.3447679012070975,0.3328023077005735,0.3427366590599025,0.3241525810888122,0.3377245695536572,0.3175981965698343,0.3328023077005735,0.33182817481847,0.3157516530882007,0.326052400055606,0.326052400055606,0.3377245695536572,0.3251009405351179,0.3084753679800236,0.3279647534223228,0.33182817481847,0.326052400055606,0.1481404523805771,-0.1462165924416746,0.4881151484555597,-0.4870438915145578,-0.5101360609749261,0.5033426163586102,0.3810281418264104,-0.2531866207132023,0.1059488452816274
waiting,3,Betabinom_Hellinger,0.5614004205541022,0.3289257160294674,0.33182817481847,0.3397183208367803,0.5541104567755374,0.3308573902164251,0.3139163088090201,0.3447679012070975,0.3328023077005735,0.3427366590599025,0.3241525810888122,0.3377245695536572,0.3175981965698343,0.3328023077005735,0.559926967682138,0.3157516530882007,0.326052400055606,0.326052400055606,0.3377245695536572,0.3251009405351179,0.3084753679800236,0.3279647534223228,0.33182817481847,0.326052400055606,0.4791804436568355,-0.4737179143876772,0.4881151484555597,-0.4870438915145578,-0.1871331613077607,0.1843334322944755,0.1093574549610003,0.1074077094552532,0.1059488452816274
test,4,Betabinom_Hellinger,0.5370255492700983,0.3037807240372533,0.3070035970586988,0.3157764913329428,0.2984860341651757,0.5344277927524114,0.2871555702209166,0.3213994776762595,0.3080858026476939,0.544952068657486,0.2984860341651757,0.3135581165278674,0.2912270188473024,0.3080858026476939,0.3070035970586988,0.5209057002508342,0.3005926245753964,0.3005926245753964,0.3135581165278674,0.2995374729788115,0.2811477951191297,0.3027142125223228,0.3070035970586988,0.3005926245753964,-0.3170710603031605,0.313288274673363,0.2939152235852784,-0.2932192973708437,-0.321257859159987,0.3166434319295135,0.0655029773089238,0.2666412435014463,-0.0657784936753865
lot,4,Betabinom_Hellinger,0.5370255492700983,0.3037807240372533,0.3070035970586988,0.3157764913329428,0.2984860341651757,0.305925376214737,0.2871555702209166,0.3213994776762595,0.5361572718160912,0.3191368158351864,0.2984860341651757,0.3135581165278674,0.2912270188473024,0.3080858026476939,0.3070035970586988,0.2891845183608956,0.3005926245753964,0.3005926245753964,0.3135581165278674,0.6831787220142662,0.2811477951191297,0.3027142125223228,0.3070035970586988,0.3005926245753964,-0.020566787680734,0.0203252113221322,-0.300956772440751,0.3002484399518921,-0.0248952314891975,0.0245421613162821,0.5047741950304621,-0.0656278593447391,-0.3389118521464009
living,89,Betabinom_Hellinger,0.5291517703669123,-0.2192828141640755,-0.2089942212616596,-0.327937333144965,0.2957226063768262,-0.3657814289774149,0.1681939777774048,0.1749263218604836,0.2272246937970197,0.1699759136560424,0.196720255982231,0.2462737677925636,0.2685273913795184,-0.2056462347863645,-0.3616457133310422,-0.2701274761878768,0.5802425164864223,0.3037361426110165,-0.1896992451424542,0.4943898578299965,-0.2998920231960258,0.587348513158923,0.2235793672435376,0.1521535533436596,0.1835534295308982,-0.1814117033523506,-0.2750549055069443,0.2744468205595678,0.2411015573201394,-0.2377495643192922,0.2083071288360211,-0.4665820006205513,0.3249960190464979
medical,5,Betabinom_Hellinger,0.5150928003352472,0.2812510313357614,0.2847414637467435,0.6729771998277707,0.2755244930544909,0.2835733486875226,0.2633054070007289,0.3003714843976413,0.2859142737697541,0.297910910871424,0.505348441773077,0.2918503386082548,0.2676902422240788,0.2859142737697541,0.2847414637467435,0.2654896561017791,0.2778017183888756,0.2778017183888756,0.2918503386082548,0.2766608993340963,0.2568484713696909,0.2800967455435655,0.5131230826709581,0.2778017183888756,0.1174510456649616,-0.1159493784817023,0.133756564454179,-0.1334307755211625,-0.4312695626132862,0.4254123661443946,-0.1237123193239944,0.1707022555797309,0.1689100052567017
station,5,Betabinom_Hellinger,0.5150928003352472,0.2812510313357614,0.2847414637467435,0.2942592673482925,0.2755244930544909,0.5121422487266118,0.2633054070007289,0.3003714843976413,0.2859142737697541,0.297910910871424,0.6612617628986642,0.2918503386082548,0.4986732052543313,0.2859142737697541,0.2847414637467435,0.2654896561017791,0.2778017183888756,0.2778017183888756,0.2918503386082548,0.2766608993340963,0.2568484713696909,0.2800967455435655,0.2847414637467435,0.2778017183888756,0.3904402147984904,-0.3858977471808044,0.133756564454179,-0.1334307755211625,-0.4312695626132862,0.4254123661443946,0.1730913037521743,-0.4100756182842416,0.3975656774102762
field,5,Betabinom_Hellinger,0.5150928003352472,0.2812510313357614,0.2847414637467435,0.2942592673482925,0.2755244930544909,0.2835733486875226,0.494908341512345,0.5261304769420211,0.2859142737697541,0.5240966140197421,0.2755244930544909,0.2918503386082548,0.2676902422240788,0.2859142737697541,0.2847414637467435,0.2654896561017791,0.2778017183888756,0.5072769858561371,0.2918503386082548,0.2766608993340963,0.2568484713696909,0.2800967455435655,0.2847414637467435,0.2778017183888756,-0.1597501877558088,0.157801946637883,-0.1419350854601557,0.1415924392704035,-0.4312695626132862,0.4254123661443946,0.4010662052118796,-0.1256911025749492,-0.1271896650689702
